,ticker,Expected annual total return (%),weight
1,RJF,0.1,0.023911625
2,MTD,0.03,0.016799412
3,UNH,0.02,0.014578486
4,SNPS,0.01,0.015298456
5,GOOGL,0.14,0.027634888
6,POOL,0.05,0.017745481
7,ACN,0.1,0.024411022
8,MSCI,0.12,0.025246115
9,ORLY,0.06,0.019411521
10,TMO,0.06,0.018135283
11,TSCO,0.05,0.017856459
12,DLTR,0.06,0.017913329
13,HD,0.08,0.021356386
14,REGN,0.05,0.013750303
15,RMD,-0.05,0.004747332
16,STE,0.08,0.019358796
17,PAYX,0.05,0.018078413
18,APH,0.05,0.019687582
19,CTRA,0,0.006529876
20,CHD,0.01,0.011136811
21,SHW,0.08,0.022022249
22,CDNS,-0.01,0.013076148
23,CDW,0.02,0.015854724
24,CTSH,0.08,0.022022249
25,MKC,0.04,0.01419283
26,ROP,0.07,0.020800118
27,MCO,0.1,0.024355534
28,JKHY,0.02,0.013024805
29,TYL,0.02,0.013801646
30,VRSK,0.07,0.019190949
31,FAST,0.1,0.024632977
32,ICE,0.03,0.015356708
33,CTAS,0.05,0.02096382
34,TFC,-0.04,0.010297573
35,AMT,0.09,0.019138224
36,VLO,0.04,0.022682585
37,EVRG,0.11,0.021305043
38,DG,0.1,0.020804263
39,FRC,0.09,0.023077914
40,IDXX,0.07,0.020522675
41,ANSS,0,0.014853165
42,BR,0.13,0.02591336
43,TMUS,0.11,0.021748951
44,MA,-0.02,0.011632063
45,MNST,0.12,0.026022955
46,CHTR,0.11,0.024079472
47,PAYC,0.13,0.029131698
48,CMCSA,0.22,0.034803972
49,DISCA,0.21,0.03519101
50,PARA,0.3,0.045912746
